"동별","독거노인별","항목","단위","2021 년","2022 년","2023 년","2024 년",
"원효로1동","일   반","계","","419","343","383","631",
"원효로1동","일   반","65~79세","","334","263","283","453",
"원효로1동","일   반","80세 이상","","85","80","100","178",
"원효로2동","합계","계","","547","538","570","1327",
"원효로2동","합계","65~79세","","360","353","373","951",
"원효로2동","합계","80세 이상","","187","185","197","376",
"원효로2동","국민기초생활보장 수급권자","계","","157","177","189","210",
"원효로2동","국민기초생활보장 수급권자","65~79세","","95","106","106","124",
"원효로2동","국민기초생활보장 수급권자","80세 이상","","62","71","83","86",
"원효로2동","저소득노인","계","","19","14","6","7",
"원효로2동","저소득노인","65~79세","","11","7","3","3",
"원효로2동","저소득노인","80세 이상","","8","7","3","4",
"원효로2동","일   반","계","","371","347","375","1110",
"원효로2동","일   반","65~79세","","254","240","264","824",
"원효로2동","일   반","80세 이상","","117","107","111","286",
"효창동","합계","계","","327","302","321","574",
"효창동","합계","65~79세","","239","212","221","399",
"효창동","합계","80세 이상","","88","90","100","175",
