행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,독거노인수_2018,고령화율,고령화율_변화,독거노인비율,비율_75-79세,비율_85세이상,인프라갭,포화도,시설수,수요공급갭지수,요양수요가속도
1147058000,신월3동,양천구,양천구,2023,14688,3143,1224.0,21.4,1.21,40.57,17.53,6.84,1047.67,0.96,13.0,239.8895,4.08
1147059000,신월4동,양천구,양천구,2023,17600,3523,527.0,20.02,1.24,20.18,16.76,7.7,704.6,0.96,13.0,239.2117,29.95
1147060000,신월5동,양천구,양천구,2023,14313,2627,433.0,18.35,1.18,25.66,17.55,7.42,1313.5,0.96,13.0,214.1881,44.25
1147061000,신월6동,양천구,양천구,2023,13867,2054,192.0,14.81,1.3,20.16,16.91,6.43,513.5,0.96,13.0,146.0877,76.84
1147061100,신월7동,양천구,양천구,2023,18959,4485,1024.0,23.66,1.19,30.55,16.57,8.94,4485.0,0.96,13.0,395.8653,29.11
1147062000,신정1동,양천구,양천구,2023,19830,2855,388.0,14.4,0.88,18.32,15.95,9.43,951.67,0.96,13.0,220.2276,29.86
1147063000,신정2동,양천구,양천구,2023,18901,2750,674.0,14.55,0.99,24.98,16.99,8.66,2750.0,0.96,13.0,241.6661,1.91
1147064000,신정3동,양천구,양천구,2023,50234,8201,1822.0,16.33,0.97,23.3,17.76,8.43,2733.67,0.96,13.0,629.8368,4.77
1147065000,신정4동,양천구,양천구,2023,32340,6199,1202.0,19.17,1.12,28.38,18.17,6.44,688.78,0.96,13.0,343.0019,38.08
1147067000,신정6동,양천구,양천구,2023,24069,3059,288.0,12.71,0.98,13.17,14.26,8.37,1529.5,0.96,13.0,248.5743,33.6
1147068000,신정7동,양천구,양천구,2023,28360,5347,1085.0,18.85,1.4,30.41,16.18,10.04,5347.0,0.96,13.0,473.9352,40.45
1150051000,염창동,강서구,강서구,2023,41420,4700,566.0,11.35,0.58,14.49,15.73,7.0,1566.67,0.875,21.0,238.0158,18.5
